pk,entry,difficulty_level
519,meddle,9
520,specialize,4
521,extinguisher,8
522,credibly,5
523,pilfer,10
524,prescience,10
525,confiscation,8
526,negligible,6
527,legitimately,7
528,meddling,8
529,soundness,7
530,succumb,8
531,rupee,8
532,confiscate,9
533,dinar,8
534,definitively,4
535,barbaric,8
536,unsound,8
537,unquestionable,9
538,propensity,7
539,ply,6
540,salable,10
541,demonstrably,8
542,fend,7
543,coercive,7
544,devalue,9
545,salability,10
546,prosper,6
547,repayment,5
548,barter,7
549,transportable,9
550,perishable,8
551,intermediary,6
552,liquidate,8
553,consequential,6
554,herein,3
555,disclaim,7
556,completeness,1
557,bezant,10
558,warranty,2
559,interwar,0
560,incidental,5
561,sobering,6
562,asymmetry,7
563,cryptography,7
564,custodian,6
565,bulwark,9
566,maximally,8
567,quirky,6
568,despotic,9
569,elucidate,8
570,monoculture,9
571,ough,0
572,unsuited,9
573,salient,7
574,rationality,4
575,convincingly,5
576,disarray,8
577,programmer,4
578,trust,2
579,like,1
580,end,1
581,times,1
582,place,1
583,little,1
584,xi,5
585,studied,2
586,namely,3
587,move,1
588,suggest,2
589,track,1
590,think,1
591,cost,1
592,empirical,4
593,securely,4
594,notion,3
595,electronic,1
596,warning,2
597,management,1
598,paper,1
599,claim,1
600,surrounding,2
601,share,1
602,invention,3
603,understand,1
604,worth,1
605,old,1
606,separation,3
607,fact,1
608,survival,3
609,interested,1
610,enough,1
611,price,1
612,rate,1
613,pizza,4
614,rule,1
615,fully,1
616,minority,3
617,huge,1
618,economic,1
619,sound,1
620,part,1
621,complete,1
622,previous,1
623,model,1
624,understood,1
625,somewhere,3
626,works,1
627,announce,3
628,standard,1
629,difficult,1
630,insignificant,6
631,civilization,4
632,something,0
633,invest,3
634,rise,2
635,right,1
636,needs,1
637,unexpected,4
638,university,2
639,explaining,2
640,keep,1
641,distinct,3
642,fail,2
643,offer,1
644,two,1
645,longer,1
646,want,1
647,acquire,3
648,order,1
649,get,1
650,design,1
651,advance,2
652,across,1
653,helping,2
654,specialization,6
655,lack,2
656,process,1
657,size,1
658,head,1
659,player,1
660,community,1
661,rather,1
662,becomes,1
663,buy,1
664,volatile,5
665,must,1
666,conduct,2
667,space,1
668,apply,1
669,verify,3
670,familiarity,6
671,first,1
672,scope,2
673,someone,1
674,solution,1
675,homeowner,5
676,deal,1
677,transition,2
678,people,1
679,anyone,0
680,technological,3
681,present,1
682,need,1
683,foreword,8
684,member,1
685,cash,1
686,efficient,2
687,monopoly,5
688,composed,3
689,reward,4
690,clever,4
691,dividing,4
692,previously,2
693,reliable,2
694,seminal,6
695,solve,3
696,fringe,5
697,basic,1
698,commodity,4
699,whereas,0
700,around,1
701,positive,1
702,several,1
703,study,1
704,likely,1
705,trader,5
706,conceptual,4
707,without,0
708,number,1
709,power,1
710,history,1
711,store,1
712,harper,9
713,exceeding,4
714,work,1
715,concentrate,4
716,stock,1
717,property,1
718,invitation,4
719,three,1
720,serve,2
721,identification,2
722,surprise,3
723,production,1
724,link,1
725,understanding,1
726,class,1
727,far,1
728,crowd,3
729,command,1
730,among,0
731,fate,4
732,neat,4
733,currency,2
734,somehow,3
735,sell,1
736,grasp,4
737,accumulation,4
738,hypothetical,4
739,capital,1
740,measuring,2
741,interest,1
742,distributed,2
743,might,1
744,riot,6
745,beginning,1
746,endow,9
747,compete,3
748,polite,5
749,outside,1
750,status,1
751,writing,1
752,rot,6
753,isolated,3
754,valuation,4
755,whose,0
756,state,1
757,effective,1
758,insurance,1
759,money,1
760,loco,7
761,many,1
762,bank,1
763,convenient,3
764,contrary,3
765,macro,3
766,trade,1
767,always,1
768,better,1
769,holding,2
770,authority,1
771,making,1
772,one,1
773,specific,1
774,problem,1
775,utterly,5
776,imagine,3
777,payment,1
778,risen,5
779,modern,1
780,saving,2
781,make,1
782,buck,5
783,moment,2
784,iteration,5
785,spent,2
786,economy,2
787,alternative,2
788,scales,1
789,follow,1
790,directly,1
791,essence,4
792,tight,2
793,effect,1
794,experiment,3
795,pseudonym,7
796,investment,1
797,society,1
798,well,1
799,transfer,1
800,sustainable,3
801,object,1
802,liberty,4
803,organic,2
804,going,1
805,measurement,2
806,finally,2
807,economics,3
808,joining,1
809,life,1
810,even,1
811,actually,1
812,grown,2
813,remain,2
814,basis,1
815,appear,1
816,social,1
817,functional,2
818,coincidence,5
819,center,1
820,trim,4
821,within,1
822,catch,2
823,mean,1
824,national,1
825,hong,0
826,game,1
827,smaller,1
828,thing,1
829,satisfy,3
830,wanting,3
831,significant,1
832,term,1
833,popper,9
834,third,1
835,section,1
836,equal,2
837,goods,0
838,sending,1
839,could,0
840,copied,1
841,clearance,3
842,miraculous,7
843,example,1
844,mining,3
845,engaging,4
846,barely,4
847,long,1
848,let,1
849,least,1
850,native,2
851,background,2
852,abstract,2
853,proceed,3
854,different,1
855,code,1
856,coffee,2
857,silver,2
858,full,1
859,produced,1
860,dozen,3
861,tally,6
862,found,1
863,require,1
864,control,1
865,professor,3
866,zero,2
867,accumulate,5
868,sophisticated,3
869,policy,1
870,whether,0
871,late,1
872,network,1
873,human,1
874,purchase,1
875,jersey,4
876,medium,2
877,democratic,3
878,animal,1
879,careful,3
880,providing,1
881,nomic,0
882,market,1
883,mere,3
884,good,1
885,direct,1
886,opportunity,1
887,idea,1
888,consent,2
889,individual,1
890,cosmetic,4
891,free,1
892,rational,4
893,owner,1
894,much,1
895,decide,2
896,calculated,2
897,hard,1
898,record,1
899,available,1
900,thus,1
901,single,1
902,best,1
903,consider,1
904,existence,2
905,central,2
906,operation,1
907,bigger,1
908,inherent,4
909,government,1
910,complex,1
911,remind,4
912,reserve,2
913,advertisement,3
914,research,1
915,capitalism,5
916,method,1
917,constantly,3
918,indeed,2
919,resort,2
920,equivalent,2
921,structure,1
922,go,1
923,startling,6
924,albeit,0
925,economist,6
926,last,1
927,local,1
928,solid,2
929,sent,1
930,humanity,4
931,sought,2
932,pair,2
933,discovered,2
934,intelligent,3
935,responsibility,1
936,search,1
937,essential,2
938,establishment,3
939,eight,2
940,hold,1
941,almost,1
942,advantage,2
943,transformation,3
944,logic,2
945,reality,2
946,ing,0
947,precisely,3
948,way,1
949,since,0
950,quick,2
951,operational,2
952,function,1
953,prologue,8
954,federal,1
955,easy,1
956,second,1
957,would,0
958,excellent,1
959,location,1
960,nature,1
961,may,1
962,perfect,1
963,another,1
964,chain,2
965,value,1
966,gold,2
967,common,1
